observation_date,NHFSEPNTS
1999-01-01,38
1999-02-01,38
1999-03-01,36
1999-04-01,41
1999-05-01,39
1999-06-01,47
1999-07-01,47
1999-08-01,44
1999-09-01,44
1999-10-01,42
1999-11-01,40
1999-12-01,40
2000-01-01,41
2000-02-01,40
2000-03-01,42
2000-04-01,40
2000-05-01,37
2000-06-01,37
2000-07-01,37
2000-08-01,38
2000-09-01,39
2000-10-01,40
2000-11-01,42
2000-12-01,41
2001-01-01,41
2001-02-01,41
2001-03-01,44
2001-04-01,39
2001-05-01,42
2001-06-01,45
2001-07-01,43
2001-08-01,44
2001-09-01,40
2001-10-01,41
2001-11-01,40
2001-12-01,42
2002-01-01,43
2002-02-01,42
2002-03-01,40
2002-04-01,47
2002-05-01,44
2002-06-01,41
2002-07-01,46
2002-08-01,48
2002-09-01,47
2002-10-01,51
2002-11-01,52
2002-12-01,51
2003-01-01,52
2003-02-01,55
2003-03-01,51
2003-04-01,53
2003-05-01,55
2003-06-01,52
2003-07-01,51
2003-08-01,54
2003-09-01,55
2003-10-01,61
2003-11-01,53
2003-12-01,52
2004-01-01,54
2004-02-01,56
2004-03-01,61
2004-04-01,57
2004-05-01,55
2004-06-01,62
2004-07-01,68
2004-08-01,62
2004-09-01,68
2004-10-01,65
2004-11-01,70
2004-12-01,68
2005-01-01,70
2005-02-01,70
2005-03-01,75
2005-04-01,77
2005-05-01,77
2005-06-01,78
2005-07-01,84
2005-08-01,86
2005-09-01,89
2005-10-01,88
2005-11-01,88
2005-12-01,95
2006-01-01,92
2006-02-01,90
2006-03-01,93
2006-04-01,100
2006-05-01,97
2006-06-01,99
2006-07-01,97
2006-08-01,93
2006-09-01,84
2006-10-01,87
2006-11-01,81
2006-12-01,80
2007-01-01,84
2007-02-01,85
2007-03-01,84
2007-04-01,80
2007-05-01,80
2007-06-01,78
2007-07-01,77
2007-08-01,76
2007-09-01,76
2007-10-01,76
2007-11-01,74
2007-12-01,72
2008-01-01,69
2008-02-01,67
2008-03-01,65
2008-04-01,62
2008-05-01,61
2008-06-01,58
2008-07-01,55
2008-08-01,52
2008-09-01,50
2008-10-01,46
2008-11-01,45
2008-12-01,42
2009-01-01,41
2009-02-01,39
2009-03-01,38
2009-04-01,38
2009-05-01,38
2009-06-01,36
2009-07-01,34
2009-08-01,34
2009-09-01,32
2009-10-01,31
2009-11-01,29
2009-12-01,31
2010-01-01,31
2010-02-01,30
2010-03-01,30
2010-04-01,28
2010-05-01,27
2010-06-01,28
2010-07-01,27
2010-08-01,26
2010-09-01,26
2010-10-01,27
2010-11-01,26
2010-12-01,27
2011-01-01,28
2011-02-01,27
2011-03-01,25
2011-04-01,25
2011-05-01,24
2011-06-01,23
2011-07-01,23
2011-08-01,23
2011-09-01,24
2011-10-01,24
2011-11-01,25
2011-12-01,25
2012-01-01,24
2012-02-01,25
2012-03-01,24
2012-04-01,24
2012-05-01,25
2012-06-01,23
2012-07-01,23
2012-08-01,23
2012-09-01,22
2012-10-01,23
2012-11-01,24
2012-12-01,23
2013-01-01,22
2013-02-01,23
2013-03-01,24
2013-04-01,26
2013-05-01,28
2013-06-01,28
2013-07-01,33
2013-08-01,32
2013-09-01,37
2013-10-01,36
2013-11-01,34
2013-12-01,31
2014-01-01,31
2014-02-01,30
2014-03-01,31
2014-04-01,29
2014-05-01,30
2014-06-01,32
2014-07-01,33
2014-08-01,33
2014-09-01,35
2014-10-01,34
2014-11-01,35
2014-12-01,34
2015-01-01,36
2015-02-01,36
2015-03-01,37
2015-04-01,37
2015-05-01,37
2015-06-01,38
2015-07-01,37
2015-08-01,36
2015-09-01,36
2015-10-01,39
2015-11-01,38
2015-12-01,39
2016-01-01,37
2016-02-01,36
2016-03-01,36
2016-04-01,36
2016-05-01,37
2016-06-01,38
2016-07-01,38
2016-08-01,40
2016-09-01,40
2016-10-01,38
2016-11-01,38
2016-12-01,43
2017-01-01,45
2017-02-01,47
2017-03-01,47
2017-04-01,48
2017-05-01,48
2017-06-01,46
2017-07-01,45
2017-08-01,47
2017-09-01,48
2017-10-01,49
2017-11-01,47
2017-12-01,52
2018-01-01,52
2018-02-01,53
2018-03-01,54
2018-04-01,54
2018-05-01,53
2018-06-01,56
2018-07-01,56
2018-08-01,55
2018-09-01,55
2018-10-01,57
2018-11-01,60
2018-12-01,69
2019-01-01,59
2019-02-01,58
2019-03-01,57
2019-04-01,54
2019-05-01,55
2019-06-01,53
2019-07-01,53
2019-08-01,53
2019-09-01,51
2019-10-01,52
2019-11-01,55
2019-12-01,55
2020-01-01,55
2020-02-01,53
2020-03-01,58
2020-04-01,58
2020-05-01,62
2020-06-01,57
2020-07-01,57
2020-08-01,59
2020-09-01,61
2020-10-01,59
2020-11-01,64
2020-12-01,68
2021-01-01,75
2021-02-01,80
2021-03-01,79
2021-04-01,85
2021-05-01,90
2021-06-01,97
2021-07-01,97
2021-08-01,95
2021-09-01,96
2021-10-01,96
2021-11-01,94
2021-12-01,91
2022-01-01,94
2022-02-01,95
2022-03-01,98
2022-04-01,100
2022-05-01,97
2022-06-01,95
2022-07-01,98
2022-08-01,98
2022-09-01,96
2022-10-01,100
2022-11-01,97
2022-12-01,92
2023-01-01,86
2023-02-01,90
2023-03-01,90
2023-04-01,91
2023-05-01,92
2023-06-01,92
2023-07-01,95
2023-08-01,95
2023-09-01,99
2023-10-01,101
2023-11-01,98
2023-12-01,99
2024-01-01,98
2024-02-01,94
2024-03-01,91
2024-04-01,89
2024-05-01,92
2024-06-01,89
2024-07-01,93
2024-08-01,94
2024-09-01,95
2024-10-01,97
2024-11-01,101
2024-12-01,108
