observation_date,NHFSEPCS
1999-01-01,68
1999-02-01,67
1999-03-01,68
1999-04-01,69
1999-05-01,72
1999-06-01,73
1999-07-01,73
1999-08-01,70
1999-09-01,73
1999-10-01,72
1999-11-01,76
1999-12-01,77
2000-01-01,82
2000-02-01,79
2000-03-01,86
2000-04-01,80
2000-05-01,84
2000-06-01,84
2000-07-01,83
2000-08-01,85
2000-09-01,85
2000-10-01,86
2000-11-01,90
2000-12-01,87
2001-01-01,82
2001-02-01,80
2001-03-01,78
2001-04-01,77
2001-05-01,76
2001-06-01,75
2001-07-01,76
2001-08-01,77
2001-09-01,79
2001-10-01,78
2001-11-01,77
2001-12-01,76
2002-01-01,77
2002-02-01,79
2002-03-01,80
2002-04-01,83
2002-05-01,83
2002-06-01,85
2002-07-01,83
2002-08-01,83
2002-09-01,86
2002-10-01,82
2002-11-01,85
2002-12-01,84
2003-01-01,83
2003-02-01,84
2003-03-01,82
2003-04-01,82
2003-05-01,81
2003-06-01,79
2003-07-01,79
2003-08-01,78
2003-09-01,77
2003-10-01,78
2003-11-01,81
2003-12-01,86
2004-01-01,89
2004-02-01,84
2004-03-01,82
2004-04-01,88
2004-05-01,87
2004-06-01,85
2004-07-01,93
2004-08-01,93
2004-09-01,91
2004-10-01,95
2004-11-01,95
2004-12-01,97
2005-01-01,102
2005-02-01,103
2005-03-01,104
2005-04-01,104
2005-05-01,107
2005-06-01,107
2005-07-01,108
2005-08-01,108
2005-09-01,108
2005-10-01,110
2005-11-01,110
2005-12-01,110
2006-01-01,113
2006-02-01,121
2006-03-01,128
2006-04-01,133
2006-05-01,130
2006-06-01,140
2006-07-01,148
2006-08-01,156
2006-09-01,162
2006-10-01,166
2006-11-01,166
2006-12-01,166
2007-01-01,169
2007-02-01,174
2007-03-01,179
2007-04-01,183
2007-05-01,186
2007-06-01,188
2007-07-01,188
2007-08-01,193
2007-09-01,194
2007-10-01,190
2007-11-01,190
2007-12-01,191
2008-01-01,191
2008-02-01,188
2008-03-01,186
2008-04-01,182
2008-05-01,183
2008-06-01,181
2008-07-01,179
2008-08-01,176
2008-09-01,175
2008-10-01,172
2008-11-01,170
2008-12-01,166
2009-01-01,161
2009-02-01,155
2009-03-01,149
2009-04-01,144
2009-05-01,138
2009-06-01,131
2009-07-01,126
2009-08-01,118
2009-09-01,111
2009-10-01,106
2009-11-01,101
2009-12-01,96
2010-01-01,96
2010-02-01,92
2010-03-01,90
2010-04-01,88
2010-05-01,87
2010-06-01,86
2010-07-01,86
2010-08-01,87
2010-09-01,85
2010-10-01,83
2010-11-01,81
2010-12-01,77
2011-01-01,75
2011-02-01,74
2011-03-01,72
2011-04-01,69
2011-05-01,67
2011-06-01,65
2011-07-01,66
2011-08-01,64
2011-09-01,62
2011-10-01,59
2011-11-01,57
2011-12-01,56
2012-01-01,53
2012-02-01,51
2012-03-01,47
2012-04-01,47
2012-05-01,46
2012-06-01,45
2012-07-01,42
2012-08-01,41
2012-09-01,40
2012-10-01,40
2012-11-01,41
2012-12-01,41
2013-01-01,40
2013-02-01,40
2013-03-01,41
2013-04-01,40
2013-05-01,38
2013-06-01,37
2013-07-01,39
2013-08-01,41
2013-09-01,41
2013-10-01,41
2013-11-01,41
2013-12-01,41
2014-01-01,44
2014-02-01,43
2014-03-01,47
2014-04-01,48
2014-05-01,49
2014-06-01,50
2014-07-01,52
2014-08-01,51
2014-09-01,53
2014-10-01,54
2014-11-01,56
2014-12-01,56
2015-01-01,54
2015-02-01,55
2015-03-01,52
2015-04-01,50
2015-05-01,51
2015-06-01,50
2015-07-01,49
2015-08-01,48
2015-09-01,51
2015-10-01,52
2015-11-01,53
2015-12-01,54
2016-01-01,55
2016-02-01,57
2016-03-01,58
2016-04-01,58
2016-05-01,59
2016-06-01,57
2016-07-01,58
2016-08-01,61
2016-09-01,60
2016-10-01,59
2016-11-01,59
2016-12-01,59
2017-01-01,59
2017-02-01,60
2017-03-01,60
2017-04-01,59
2017-05-01,62
2017-06-01,65
2017-07-01,65
2017-08-01,63
2017-09-01,64
2017-10-01,64
2017-11-01,63
2017-12-01,63
2018-01-01,63
2018-02-01,63
2018-03-01,62
2018-04-01,61
2018-05-01,59
2018-06-01,62
2018-07-01,65
2018-08-01,69
2018-09-01,71
2018-10-01,74
2018-11-01,75
2018-12-01,74
2019-01-01,76
2019-02-01,75
2019-03-01,77
2019-04-01,77
2019-05-01,79
2019-06-01,79
2019-07-01,80
2019-08-01,79
2019-09-01,78
2019-10-01,77
2019-11-01,76
2019-12-01,77
2020-01-01,76
2020-02-01,77
2020-03-01,76
2020-04-01,77
2020-05-01,73
2020-06-01,65
2020-07-01,59
2020-08-01,53
2020-09-01,47
2020-10-01,43
2020-11-01,41
2020-12-01,40
2021-01-01,40
2021-02-01,39
2021-03-01,34
2021-04-01,33
2021-05-01,33
2021-06-01,33
2021-07-01,32
2021-08-01,35
2021-09-01,33
2021-10-01,35
2021-11-01,33
2021-12-01,32
2022-01-01,32
2022-02-01,31
2022-03-01,32
2022-04-01,33
2022-05-01,36
2022-06-01,38
2022-07-01,43
2022-08-01,46
2022-09-01,53
2022-10-01,59
2022-11-01,63
2022-12-01,67
2023-01-01,68
2023-02-01,70
2023-03-01,70
2023-04-01,69
2023-05-01,65
2023-06-01,68
2023-07-01,71
2023-08-01,73
2023-09-01,73
2023-10-01,75
2023-11-01,76
2023-12-01,81
2024-01-01,83
2024-02-01,88
2024-03-01,89
2024-04-01,91
2024-05-01,94
2024-06-01,99
2024-07-01,103
2024-08-01,106
2024-09-01,107
2024-10-01,111
2024-11-01,117
2024-12-01,118
